Date,Open_Norm_Z,Close_Norm_Z
12/12/1980,-0.549397224,-0.549060962
15/12/1980,-0.549817548,-0.549519058
16/12/1980,-0.55042893,-0.550129852
17/12/1980,-0.550276084,-0.549938979
18/12/1980,-0.550046816,-0.549709931
19/12/1980,-0.54955007,-0.549213661
22/12/1980,-0.549129745,-0.54879374
23/12/1980,-0.548747632,-0.548411994
24/12/1980,-0.548250885,-0.547915724
26/12/1980,-0.547333813,-0.546999532
29/12/1980,-0.547180968,-0.546846834
30/12/1980,-0.547410236,-0.547114057
31/12/1980,-0.547715926,-0.547419453
02/01/1981,-0.547639504,-0.54730493
05/01/1981,-0.54783056,-0.547533977
06/01/1981,-0.548289096,-0.547992073
07/01/1981,-0.548709421,-0.548411994
08/01/1981,-0.548900477,-0.548602866
09/01/1981,-0.548441942,-0.548106597
12/01/1981,-0.548441942,-0.548182946
13/01/1981,-0.548824054,-0.548526517
14/01/1981,-0.548824054,-0.548488343
15/01/1981,-0.548632998,-0.548297469
16/01/1981,-0.548671209,-0.548373819
19/01/1981,-0.54813625,-0.547801199
20/01/1981,-0.548403729,-0.548106597
21/01/1981,-0.548250885,-0.547915724
22/01/1981,-0.54813625,-0.547801199
23/01/1981,-0.54813625,-0.547839375
26/01/1981,-0.548289096,-0.547992073
27/01/1981,-0.548327307,-0.548068422
28/01/1981,-0.548671209,-0.548373819
29/01/1981,-0.549015111,-0.548717391
30/01/1981,-0.549473646,-0.549213661
02/02/1981,-0.550008605,-0.549709931
03/02/1981,-0.549741126,-0.549404534
04/02/1981,-0.549435435,-0.549099137
05/02/1981,-0.549435435,-0.549099137
06/02/1981,-0.549397224,-0.549060962
09/02/1981,-0.549779337,-0.549519058
10/02/1981,-0.54985576,-0.549519058
11/02/1981,-0.550085027,-0.54978628
12/02/1981,-0.55016145,-0.549862629
13/02/1981,-0.550314295,-0.550053503
17/02/1981,-0.550199661,-0.549862629
18/02/1981,-0.54985576,-0.549519058
19/02/1981,-0.550314295,-0.550015328
20/02/1981,-0.55073462,-0.550435249
23/02/1981,-0.550658198,-0.550320725
24/02/1981,-0.550849254,-0.550587947
25/02/1981,-0.550467141,-0.550129852
26/02/1981,-0.550352507,-0.550015328
27/02/1981,-0.550085027,-0.549748105
02/03/1981,-0.550046816,-0.549709931
03/03/1981,-0.550123239,-0.549824455
04/03/1981,-0.550199661,-0.549900804
05/03/1981,-0.550237873,-0.549938979
06/03/1981,-0.550276084,-0.550015328
09/03/1981,-0.550925677,-0.550626122
10/03/1981,-0.551269578,-0.550969694
11/03/1981,-0.551498846,-0.551236916
12/03/1981,-0.55130779,-0.550969694
13/03/1981,-0.551346001,-0.551046043
16/03/1981,-0.551116733,-0.55077882
17/03/1981,-0.550772832,-0.550435249
18/03/1981,-0.550314295,-0.549977153
19/03/1981,-0.550352507,-0.550053503
20/03/1981,-0.550314295,-0.549977153
23/03/1981,-0.550008605,-0.549671756
24/03/1981,-0.550008605,-0.549709931
25/03/1981,-0.550123239,-0.549862629
26/03/1981,-0.550314295,-0.550015328
